"Project","MethodIndex","Method","Count","Tests"
"avrora","1","edu.ucla.cs.compilers.avrora.avrora.arch.legacy.LegacyArchitecture.newInstrArray(int)","1905568","edu.ucla.cs.compilers.avrora.test.SimulatorTestHarnessTest.testSimulatorHarness_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.InterruptTestHarnessTest.testInterruptHarness_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.DisassemblerTestHarnessTest.testDisassemblerHarness_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.TimersTestHarnessTest.testTimers_usingAllTstFiles_expectAllPass []"
"avrora","2","edu.ucla.cs.compilers.avrora.cck.text.StringUtil.to0xHex(long,int)","1430720","edu.ucla.cs.compilers.avrora.test.SimulatorTestHarnessTest.testSimulatorHarness_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.InterruptTestHarnessTest.testInterruptHarness_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.DisassemblerTestHarnessTest.testDisassemblerHarness_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.TimersTestHarnessTest.testTimers_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.ProbesTestHarnessTest.testProbesHarness_usingAllTstFiles_expectAllPass []"
"avrora","3","edu.ucla.cs.compilers.avrora.avrora.syntax.Module.addInstruction(String,AbstractToken,SyntacticOperand)","364560","edu.ucla.cs.compilers.avrora.test.InterruptTestHarnessTest.testInterruptHarness_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.DisassemblerTestHarnessTest.testDisassemblerHarness_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.TimersTestHarnessTest.testTimers_usingAllTstFiles_expectAllPass []"
"avrora","4","edu.ucla.cs.compilers.avrora.avrora.sim.AtmelInterpreter.insertWatch(Simulator.Watch,int)","315808","edu.ucla.cs.compilers.avrora.test.InterruptTestHarnessTest.testInterruptHarness_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.ProbesTestHarnessTest.testProbesHarness_usingAllTstFiles_expectAllPass []"
"avrora","5","edu.ucla.cs.compilers.avrora.avrora.sim.mcu.ATMegaFamily.buildPort(char)","182976","edu.ucla.cs.compilers.avrora.test.SimulatorTestHarnessTest.testSimulatorHarness_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.TimersTestHarnessTest.testTimers_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.ProbesTestHarnessTest.testProbesHarness_usingAllTstFiles_expectAllPass []"
"avrora","6","edu.ucla.cs.compilers.avrora.avrora.syntax.Module.addInstruction(String,AbstractToken,SyntacticOperand,SyntacticOperand)","174000","edu.ucla.cs.compilers.avrora.test.SimulatorTestHarnessTest.testSimulatorHarness_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.InterruptTestHarnessTest.testInterruptHarness_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.DisassemblerTestHarnessTest.testDisassemblerHarness_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.TimersTestHarnessTest.testTimers_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.ProbesTestHarnessTest.testProbesHarness_usingAllTstFiles_expectAllPass []"
"avrora","7","edu.ucla.cs.compilers.avrora.avrora.sim.mcu.ReprogrammableCodeSegment.resetBuffer()","167552","edu.ucla.cs.compilers.avrora.test.SimulatorTestHarnessTest.testSimulatorHarness_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.ProbesTestHarnessTest.testProbesHarness_usingAllTstFiles_expectAllPass []"
"avrora","8","edu.ucla.cs.compilers.avrora.avrora.sim.mcu.RegisterSet.createMultiFieldRegister(RegisterLayout.RegisterInfo)","130304","edu.ucla.cs.compilers.avrora.test.SimulatorTestHarnessTest.testSimulatorHarness_usingAllTstFiles_expectAllPass [],edu.ucla.cs.compilers.avrora.test.ProbesTestHarnessTest.testProbesHarness_usingAllTstFiles_expectAllPass []"
"avrora","9","edu.ucla.cs.compilers.avrora.avrora.sim.mcu.USART.getUSARTProperties(String,Microcontroller)","56832","edu.ucla.cs.compilers.avrora.test.SimulatorTestHarnessTest.testSimulatorHarness_usingAllTstFiles_expectAllPass []"
"avrora","10","edu.ucla.cs.compilers.avrora.avrora.sim.mcu.ATMegaFamily.buildInterruptRange(boolean,String,String,int,int)","56832","edu.ucla.cs.compilers.avrora.test.SimulatorTestHarnessTest.testSimulatorHarness_usingAllTstFiles_expectAllPass []"
"avrora","11","edu.ucla.cs.compilers.avrora.avrora.sim.mcu.ATMega128.installDevices()","28416","edu.ucla.cs.compilers.avrora.test.SimulatorTestHarnessTest.testSimulatorHarness_usingAllTstFiles_expectAllPass []"
