"Project","MethodIndex","Method","Count","Tests"
"xalan-j","1","org.apache.fop.complexscripts.bidi.UnicodeBidiAlgorithm.resolveExplicit(int[],int,int[])","123895200","org.apache.fop.complexscripts.bidi.BidiAlgorithmTestCase.testBidiAlgorithm [fop-core]"
"xalan-j","2","org.apache.fop.complexscripts.fonts.GlyphProcessingState.getGlyphs(int,int,boolean,GlyphTester,int[],int[])","114180816","org.apache.fop.complexscripts.scripts.arabic.ArabicWordFormsTestCase.testArabicWordForms [fop-core]"
"xalan-j","3","org.apache.fop.complexscripts.fonts.GlyphProcessingState.getGlyphsAvailableForward(int,GlyphTester)","94934832","org.apache.fop.complexscripts.scripts.arabic.ArabicWordFormsTestCase.testArabicWordForms [fop-core]"
"xalan-j","4","org.apache.fop.complexscripts.util.UTF32.toUTF32(String,int,boolean)","28933808","org.apache.fop.complexscripts.util.NumberConverterTestCase.testWordSpanish [fop-core],org.apache.fop.complexscripts.util.NumberConverterTestCase.testWordEnglish [fop-core],org.apache.fop.complexscripts.util.NumberConverterTestCase.testFormatRoman [fop-core],org.apache.fop.complexscripts.scripts.arabic.ArabicWordFormsTestCase.testArabicWordForms [fop-core],org.apache.fop.complexscripts.util.NumberConverterTestCase.testWordFrench [fop-core]"
"xalan-j","5","org.apache.fop.fonts.truetype.TTFSubSetFile.readFont(FontFileReader,String,String,Map<Integer,Integer>)","22239184","org.apache.fop.render.pdf.PDFAConformanceTestCase.svgContainingBitmapWithTransparency [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testUnderline [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFlags [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCapHeight [fop-core],org.apache.fop.pdf.PDFVTTestCase.textIF [fop-core],org.apache.fop.render.pdf.PDFAConformanceTestCase.testAttachment [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.textUnicodeCoverage [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCMaps [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFullName [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testGlyphsNotRemappedTwice [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetWeightClass [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetGlyphName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetKerning [fop-core],org.apache.fop.render.pdf.PDFAConformanceTestCase.testImages [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetItalicAngle [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testBBox [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFirstChar [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFontBBox [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testIsEmbeddable [fop-core],org.apache.fop.render.pdf.PDFEncodingTestCase.testPDFEncodingWithNonBMPFont [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetPostScriptName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testIsCFF [fop-core],org.apache.fop.accessibility.fo.ArtifactImageBugTestCase.testMarkerStateTrackingBug [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFamilyNames [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testStrikeout [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testLastChar [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testConvertTTFUnit2PDFUnit [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetStemV [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetWidths [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testReadFont3Args [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testPopulateNoCompositeGlyphs [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCharWidth [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCharSetName [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testSingleRecursionStep [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetLowerCaseAscent [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetXHeight [fop-core],org.apache.fop.render.pdf.PDFAConformanceTestCase.testAllOk [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testPopulateGlyphsWithComposites [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetSubFamilyName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testCheckTTC [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testReservedIndex [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetAnsiKerning [fop-core],org.apache.fop.render.pdf.PDFAConformanceTestCase.svgTransparency [fop-core]"
"xalan-j","6","org.apache.fop.fonts.truetype.TTFFile.readGlyf()","16977152","org.apache.fop.fonts.truetype.TTFFileTestCase.testLastChar [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testIsCFF [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFlags [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetWeightClass [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFontBBox [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testBBox [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.textUnicodeCoverage [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetKerning [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetSubFamilyName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetItalicAngle [fop-core],org.apache.fop.fonts.truetype.TTFFontLoaderTestCase.testUseKerning [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCMaps [fop-core],org.apache.fop.fonts.DejaVuLGCSerifTestCase.testStrikeout [fop-core],org.apache.fop.fonts.DejaVuLGCSerifTestCase.testUnderline [fop-core],org.apache.fop.accessibility.fo.ArtifactImageBugTestCase.testMarkerStateTrackingBug [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetPostScriptName [fop-core],org.apache.fop.intermediate.IFMimickingTestCase.testMimickingPDF [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFamilyNames [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testStrikeout [fop-core],org.apache.fop.svg.font.FOPFontFamilyResolverTestCase.testResolve [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testLastChar [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testConvertTTFUnit2PDFUnit [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFamilyNames [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetLowerCaseAscent [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCharWidth [fop-core],org.apache.fop.render.pcl.PCLPainterTestCase.testTruetype [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCharSetName [fop-core],org.apache.fop.render.pcl.fonts.PCLTTFFontReaderTestCase.verifyFontAData [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCharWidth [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCharSetName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetLowerCaseAscent [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testReservedIndex [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetStemV [fop-core],org.apache.fop.intermediate.IFMimickingTestCase.testMimickingTIFF [fop-core],org.apache.fop.render.pcl.fonts.PCLFontReaderFactoryTestCase.verifyTypeIdentification [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetXHeight [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetWidths [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testUnderline [fop-core],org.apache.fop.intermediate.IFMimickingTestCase.testMimickingPS [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCapHeight [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetXHeight [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCMaps [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFullName [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testCheckTTC [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetWeightClass [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetGlyphName [fop-core],org.apache.fop.render.afp.AFPTrueTypeTestCase.testAFPTrueType [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetKerning [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testBBox [fop-core],org.apache.fop.svg.font.FOPFontFamilyResolverTestCase.testDeriveFont [fop-core],org.apache.fop.svg.font.FOPFontFamilyResolverTestCase.testGetFamilyThatCanDisplay [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFirstChar [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFontBBox [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testIsEmbeddable [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testConvertTTFUnit2PDFUnit [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetPostScriptName [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCapHeight [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testIsCFF [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFlags [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.textUnicodeCoverage [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetStemV [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetAnsiKerning [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetWidths [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testReadFont3Args [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetItalicAngle [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetGlyphName [fop-core],org.apache.fop.svg.font.GlyphLayoutTestCase.testAdvancedGlyphPositioning [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFullName [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFirstChar [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testUnderline [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testStrikeout [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetSubFamilyName [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testIsEmbeddable [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testCheckTTC [fop-core],org.apache.fop.svg.font.GlyphLayoutTestCase.testBasicGlyphPositioning [fop-core],org.apache.fop.render.pcl.fonts.truetype.PCLTTFCharacterWriterTestCase.verifyCharacterDefinition [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testReservedIndex [fop-core],org.apache.fop.fonts.DejaVuLGCSerifTestCase.testFontName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetAnsiKerning [fop-core]"
"xalan-j","7","org.apache.fop.complexscripts.bidi.UnicodeBidiAlgorithm.resolveLevels(int[],int[],int,int[],boolean)","15006048","org.apache.fop.complexscripts.bidi.BidiAlgorithmTestCase.testBidiAlgorithm [fop-core]"
"xalan-j","8","org.apache.fop.complexscripts.bidi.UnicodeBidiAlgorithm.copySequence(int[])","15006048","org.apache.fop.complexscripts.bidi.BidiAlgorithmTestCase.testBidiAlgorithm [fop-core]"
"xalan-j","9","org.apache.fop.fonts.truetype.FontFileReader.readTTFString(int)","12194048","org.apache.fop.fonts.truetype.TTFFileTestCase.testLastChar [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testIsCFF [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFlags [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetWeightClass [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFontBBox [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testBBox [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.textUnicodeCoverage [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetKerning [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetSubFamilyName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetItalicAngle [fop-core],org.apache.fop.fonts.truetype.TTFFontLoaderTestCase.testUseKerning [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCMaps [fop-core],org.apache.fop.fonts.DejaVuLGCSerifTestCase.testStrikeout [fop-core],org.apache.fop.fonts.DejaVuLGCSerifTestCase.testUnderline [fop-core],org.apache.fop.accessibility.fo.ArtifactImageBugTestCase.testMarkerStateTrackingBug [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetPostScriptName [fop-core],org.apache.fop.intermediate.IFMimickingTestCase.testMimickingPDF [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFamilyNames [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testStrikeout [fop-core],org.apache.fop.svg.font.FOPFontFamilyResolverTestCase.testResolve [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testLastChar [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testConvertTTFUnit2PDFUnit [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFamilyNames [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetLowerCaseAscent [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCharWidth [fop-core],org.apache.fop.render.pcl.PCLPainterTestCase.testTruetype [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCharSetName [fop-core],org.apache.fop.render.pcl.fonts.PCLTTFFontReaderTestCase.verifyFontAData [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCharWidth [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCharSetName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetLowerCaseAscent [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testReservedIndex [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetStemV [fop-core],org.apache.fop.render.pcl.fonts.PCLFontReaderFactoryTestCase.verifyTypeIdentification [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetXHeight [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetWidths [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testUnderline [fop-core],org.apache.fop.intermediate.IFMimickingTestCase.testMimickingPS [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCapHeight [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetXHeight [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCMaps [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFullName [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testCheckTTC [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetWeightClass [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetGlyphName [fop-core],org.apache.fop.render.afp.AFPTrueTypeTestCase.testAFPTrueType [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetKerning [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testBBox [fop-core],org.apache.fop.svg.font.FOPFontFamilyResolverTestCase.testDeriveFont [fop-core],org.apache.fop.svg.font.FOPFontFamilyResolverTestCase.testGetFamilyThatCanDisplay [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFirstChar [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFontBBox [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testIsEmbeddable [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testConvertTTFUnit2PDFUnit [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetPostScriptName [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCapHeight [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testIsCFF [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFlags [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.textUnicodeCoverage [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetStemV [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetAnsiKerning [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetWidths [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testReadFont3Args [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetItalicAngle [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetGlyphName [fop-core],org.apache.fop.svg.font.GlyphLayoutTestCase.testAdvancedGlyphPositioning [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFullName [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFirstChar [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testUnderline [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testStrikeout [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetSubFamilyName [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testIsEmbeddable [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testCheckTTC [fop-core],org.apache.fop.svg.font.GlyphLayoutTestCase.testBasicGlyphPositioning [fop-core],org.apache.fop.render.pcl.fonts.truetype.PCLTTFCharacterWriterTestCase.verifyCharacterDefinition [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testReservedIndex [fop-core],org.apache.fop.fonts.DejaVuLGCSerifTestCase.testFontName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetAnsiKerning [fop-core]"
"xalan-j","10","org.apache.fop.complexscripts.fonts.GlyphProcessingState.getGlyphsAvailableReverse(int,GlyphTester)","9722016","org.apache.fop.complexscripts.scripts.arabic.ArabicWordFormsTestCase.testArabicWordForms [fop-core]"
